avg_rtt,max_rtt,std_rtt,moving_avg,rtt_change_rate,is_anomaly
3.25,4.28,0.65,3.25,15.99,1
3.13,4.1,0.55,3.13,8.46,1
3.26,4.12,0.61,3.26,35.97,1
3.14,4.12,0.54,3.14,28.64,1
3.23,4.12,0.51,3.23,15.65,1
3.35,4.56,0.65,3.35,34.12,1
3.28,4.56,0.74,3.28,53.29,1
3.42,4.56,0.65,3.42,73.71,1
3.46,4.56,0.65,3.46,5.41,1
3.33,4.56,0.67,3.33,24.29,1
3.2,4.56,0.78,3.2,25.28,1
3.33,4.56,0.85,3.33,120.2,1
3.11,4.56,0.91,3.11,56.88,1
3.13,4.56,0.91,3.13,66.49,1
3.26,4.7,1.02,3.26,50.16,1
3.03,4.7,0.96,3.03,51.49,1
3.1,4.7,0.91,3.1,25.88,1
3.05,4.7,0.89,3.05,10.8,1
2.97,4.7,0.89,2.97,16.04,1
2.96,4.7,0.89,2.96,3.0,1
3.04,4.7,0.83,3.04,6.95,1
2.81,4.7,0.75,2.81,25.27,1
2.86,4.7,0.7,2.86,12.08,1
2.8,4.7,0.7,2.8,10.34,1
2.68,3.45,0.4,2.68,34.77,1
2.58,3.45,0.57,2.58,62.9,1
2.56,3.45,0.56,2.56,110.94,1
2.49,3.45,0.53,2.49,6.67,1
2.4,3.45,0.57,2.4,32.14,1
2.39,3.45,0.57,2.39,45.03,1
2.39,3.45,0.57,2.39,13.71,1
2.42,3.45,0.56,2.42,15.6,1
2.4,3.45,0.57,2.4,12.61,1
2.57,4.23,0.79,2.57,103.37,1
2.5,4.23,0.74,2.5,33.1,1
2.54,4.23,0.69,2.54,40.99,1
2.56,4.23,0.7,2.56,75.45,1
2.48,4.23,0.75,2.48,43.0,1
2.6,4.23,0.71,2.6,75.45,1
2.62,4.23,0.71,2.62,10.24,1
96.02,936.83,280.27,96.02,35520.82,1
176.16,936.83,348.35,176.16,14.2,1
274.35,983.97,417.05,274.35,22.41,1
366.73,983.97,448.15,366.73,5.68,1
443.08,983.97,444.67,443.08,17.43,1
529.16,983.97,434.08,529.16,12.55,1
604.32,983.97,400.2,604.32,12.51,1
682.03,983.97,347.63,682.03,3.21,1
779.21,983.97,271.76,779.21,25.16,1
834.41,983.97,124.67,834.41,43.1,1
802.73,983.97,134.48,802.73,11.79,1
781.15,983.97,149.1,781.15,5.16,1
748.25,974.7,136.48,748.25,11.39,1
708.54,974.7,136.15,708.54,18.93,1
713.31,974.7,138.89,713.31,53.29,1
627.55,974.7,244.75,627.55,99.4,0
552.37,974.7,302.77,552.37,42.65,0
474.74,974.7,332.8,474.74,12.19,0
377.5,813.95,314.04,377.5,4.08,0
322.31,813.95,326.32,322.31,13.62,0
260.68,813.95,322.45,260.68,40.82,0
202.24,813.95,310.57,202.24,4.26,0
136.95,813.95,275.14,136.95,43.33,0
84.11,813.95,243.28,84.11,26.96,0
2.98,4.86,0.8,2.98,3.47,0
2.79,3.76,0.51,2.79,10.45,0
2.67,3.76,0.62,2.67,45.95,0
2.72,3.76,0.62,2.72,81.88,0
2.78,3.76,0.61,2.78,3.78,0
2.83,3.76,0.62,2.83,3.64,0
2.72,3.6,0.54,2.72,14.7,0
2.78,4.24,0.66,2.78,58.8,0
2.88,4.24,0.61,2.88,29.25,0
2.86,4.24,0.63,2.86,22.0,0
2.82,4.24,0.65,2.82,2.14,0
2.85,4.24,0.67,2.85,43.67,0
2.87,4.24,0.62,2.87,43.77,0
3.0,4.24,0.74,3.0,127.57,0
2.97,4.24,0.75,2.97,37.29,0
2.9,4.24,0.76,2.9,6.06,0
2.88,4.24,0.77,2.88,2.82,0
2.72,4.21,0.62,2.72,12.86,0
2.68,4.21,0.62,2.68,6.99,0
2.65,4.21,0.64,2.65,17.39,0
2.73,4.21,0.63,2.73,46.89,0
2.6,4.21,0.64,2.6,34.2,0
2.75,4.21,0.62,2.75,66.34,0
2.6,3.36,0.38,2.6,21.43,0
2.63,3.36,0.4,2.63,11.36,0
2.58,3.36,0.43,2.58,29.59,0
2.6,3.36,0.43,2.6,25.12,0
2.56,3.36,0.44,2.56,12.74,0
2.73,4.23,0.66,2.73,87.17,0
2.79,4.23,0.63,2.79,35.46,0
2.7,4.23,0.65,2.7,19.78,0
2.8,4.23,0.61,2.8,36.99,0
2.72,4.23,0.58,2.72,15.0,0
2.83,4.23,0.65,2.83,46.27,0
2.78,4.23,0.66,2.78,33.24,0
2.82,4.23,0.63,2.82,4.42,0
2.85,4.23,0.63,2.85,23.11,0
2.94,4.23,0.6,2.94,7.51,0
2.83,3.73,0.43,2.83,0.32,0
2.82,3.73,0.44,2.82,16.14,0
2.84,3.73,0.42,2.84,12.08,0
2.92,3.78,0.5,2.92,62.23,0
2.88,3.78,0.54,2.88,42.86,0
2.75,3.78,0.47,2.75,16.2,0
2.76,3.78,0.47,2.76,2.39,0
2.77,3.78,0.46,2.77,3.5,0
2.79,3.78,0.47,2.79,23.79,0
2.77,3.78,0.46,2.77,2.61,0
2.7,3.78,0.44,2.7,17.73,0
2.56,3.78,0.62,2.56,48.78,0
2.58,3.78,0.62,2.58,103.17,0
2.49,3.07,0.48,2.49,11.33,0
2.33,3.07,0.76,2.33,80.74,0
2.21,3.07,0.81,2.21,136.79,0
2.24,3.07,0.83,2.24,120.0,0
2.26,3.07,0.84,2.26,5.24,0
2.16,2.99,0.8,2.16,24.35,0
2.1,2.86,0.76,2.1,18.54,0
2.09,2.86,0.75,2.09,2.88,0
2.27,3.03,0.74,2.27,28.39,0
2.25,3.03,0.74,2.25,22.11,0
2.19,3.03,0.71,2.19,3.81,0
2.5,3.66,0.59,2.5,61.23,0
2.59,3.66,0.46,2.59,40.44,0
2.57,3.66,0.45,2.57,22.48,0
2.55,3.66,0.45,2.55,5.24,0
2.68,3.66,0.47,2.68,30.83,0
2.62,3.66,0.53,2.62,43.81,0
2.71,3.66,0.55,2.71,73.12,0
2.57,3.66,0.61,2.57,47.83,0
2.61,3.66,0.61,2.61,60.71,0
2.6,3.66,0.61,2.6,18.15,0
2.69,4.55,0.8,2.69,105.88,0
2.68,4.55,0.8,2.68,54.29,0
2.65,4.55,0.81,2.65,15.38,0
2.68,4.55,0.81,2.68,15.0,0
2.61,4.55,0.78,2.61,4.71,0
2.72,4.55,0.74,2.72,12.93,0
2.62,4.55,0.74,2.62,24.92,0
2.67,4.55,0.68,2.67,1.79,0
2.63,4.55,0.7,2.63,3.2,0
2.64,4.55,0.69,2.64,1.33,0
2.43,2.97,0.27,2.43,10.92,0
2.42,2.97,0.29,2.42,24.8,0
2.35,2.97,0.36,2.35,9.95,0
2.38,3.08,0.41,2.38,79.07,0
2.41,3.08,0.43,2.41,6.49,0
2.31,3.08,0.4,2.31,30.56,0
2.27,3.08,0.42,2.27,6.5,0
2.24,3.08,0.44,2.24,2.67,0
2.2,3.08,0.45,2.2,6.59,0
2.21,3.08,0.45,2.21,22.16,0
2.22,3.08,0.46,2.22,12.24,0
2.3,3.08,0.47,2.3,0.75,0
2.37,3.08,0.43,2.37,6.06,0
2.39,3.2,0.45,2.39,29.03,0
2.46,3.57,0.56,2.46,11.56,0
2.6,3.57,0.61,2.6,1.96,0
2.65,3.57,0.57,2.65,34.57,0
2.76,3.57,0.51,2.76,26.64,0
2.82,3.57,0.43,2.82,9.31,0
2.82,3.57,0.43,2.82,9.89,0
2.78,3.57,0.46,2.78,4.64,0
2.71,3.57,0.54,2.71,17.7,0
2.82,3.6,0.59,2.82,93.55,0
2.74,3.6,0.59,2.74,33.61,0
2.62,3.6,0.53,2.62,0.0,0
2.76,4.94,0.85,2.76,106.69,0
2.9,4.94,0.87,2.9,26.32,0
2.86,4.94,0.88,2.86,30.22,0
2.82,4.94,0.9,2.82,14.57,0
2.87,4.94,0.89,2.87,32.26,0
2.88,4.94,0.88,2.88,15.33,0
2.99,4.94,0.81,2.99,20.58,0
2.9,4.94,0.78,2.9,7.17,0
2.96,4.94,0.77,2.96,9.93,0
3.03,4.94,0.74,3.03,2.34,0
2.8,3.64,0.38,2.8,13.4,0
2.67,3.06,0.29,2.67,12.83,0
2.7,3.06,0.29,2.7,25.97,0
2.72,3.06,0.26,2.72,18.21,0
2.61,3.06,0.4,2.61,28.99,0
2.67,3.06,0.41,2.67,78.11,0
2.62,3.06,0.4,2.62,19.27,0
2.52,3.06,0.47,2.52,25.51,0
2.54,3.17,0.49,2.54,75.14,0
2.54,3.17,0.48,2.54,5.68,0
2.65,3.75,0.6,2.65,25.42,0
2.71,3.75,0.6,2.71,21.6,0
2.62,3.75,0.63,2.62,31.97,0
2.72,3.75,0.66,2.72,69.0,0
2.86,3.75,0.58,2.86,7.1,0
2.8,3.75,0.59,2.8,23.25,0
2.8,3.75,0.59,2.8,0.41,0
2.81,3.75,0.57,2.81,21.49,0
2.85,3.75,0.61,2.85,87.89,0
2.92,3.75,0.67,2.92,4.48,0
2.76,3.73,0.64,2.76,43.43,0
2.72,3.73,0.64,2.72,22.75,0
2.78,3.73,0.6,2.78,0.77,0
2.74,3.73,0.57,2.74,14.4,0
2.74,3.73,0.57,2.74,8.5,0
2.88,3.81,0.64,2.88,19.44,0
2.88,3.81,0.64,2.88,37.8,0
2.97,3.81,0.56,2.97,18.99,0
2.83,3.81,0.57,2.83,23.76,0
2.68,3.81,0.5,2.68,5.58,0
2.72,3.81,0.47,2.72,7.49,0
2.66,3.81,0.52,2.66,18.44,0
2.85,4.48,0.75,2.85,125.13,0
2.82,4.48,0.75,2.82,41.07,0
2.78,4.48,0.74,2.78,6.82,0
2.82,4.48,0.8,2.82,48.23,0
2.84,4.48,0.79,2.84,38.76,0
2.85,4.48,0.79,2.85,14.84,0
2.99,4.48,0.78,2.99,21.77,0
2.99,4.48,0.79,2.99,37.99,0
3.16,4.48,0.83,3.16,86.49,0
3.21,4.48,0.77,3.21,38.16,0
3.0,4.18,0.68,3.0,8.59,0
3.08,4.18,0.68,3.08,50.0,0
3.0,4.18,0.77,3.0,45.3,0
2.89,4.14,0.66,2.89,64.58,0
2.97,4.14,0.67,2.97,5.7,0
2.87,4.14,0.74,2.87,42.81,0
2.82,4.14,0.71,2.82,62.3,0
2.95,4.14,0.7,2.95,13.87,0
2.93,3.97,0.68,2.93,12.46,0
2.94,3.97,0.67,2.94,34.51,0
2.88,3.97,0.74,2.88,30.38,0
2.77,3.97,0.72,2.77,29.83,0
2.79,3.97,0.7,2.79,8.09,0
